overgrown-b,overgrown-b,overgrown-b,overgrown-b,overgrown-b,overgrown-b,brick-d,overgrown-b,overgrown-b,overgrown-b,overgrown-b
overgrown-a,,,,,,,,,,overgrown-b
overgrown-a,,,,,,wood-vertical,wood-vertical,wood-vertical,,overgrown-b
overgrown-a,,house-left,house-door,house-right,,,,,,overgrown-b
overgrown-a,,house-ext,,house-ext,,house-left,house-door,house-right,,overgrown-b
overgrown-a,,house-left,house-door,house-right,,house-ext,,house-ext,,overgrown-b
overgrown-a,,,,,,house-ext,,house-ext,,overgrown-b
overgrown-a,,,,,,house-door,,house-door,,overgrown-b
overgrown-a,,,,,,house-ext,,house-ext,,overgrown-b
overgrown-a,,,,,,house-ext,,house-ext,,overgrown-b
overgrown-a,,house-left,house-door,house-right,,house-left,house-ext,house-right,,overgrown-b
overgrown-a,,house-ext,,house-ext,,,,,,brick-b
overgrown-a,,house-left,house-door,house-right,,,,,,brick-b
overgrown-a,,,,,,brick-a,brick-b,brick-c,,brick-b
overgrown-a,,,,,,,,,,brick-b
overgrown-a,,,,,,,,,,brick-b
brick-a,brick-a,brick-a,cave-entrance,brick-a,brick-a,brick-a,cave-entrance,brick-a,brick-a,brick-b
,,brick-g,,brick-g,,overgrown-a,,overgrown-a,,
,,brick-g,,brick-g,,overgrown-a,,overgrown-a,,
,brick-g,,,,brick-g,overgrown-a,overgrown-a,overgrown-a,,
,brick-g,,,,brick-g,,,,,
,brick-g,,,,brick-g,,,,,
,brick-g,,,,brick-g,,,,,
,brick-d,overgrown-b,cave-entrance,overgrown-b,brick-d,,,,,
